6, 18, 1, 5, 0, 6
6, 18, 1, 6, 0, 6
6, 18, 1, 7, 0, 6
8, 8, 2, 11, 0, 6
8, 8, 2, 12, 0, 6
8, 8, 2, 13, 0, 6
8, 14, 2, 2, 0, 2
9, 10, 2, 2, 1, 2
7, 5, 2, 2, 1, 2
5, 9, 2, 2, 1, 2
6, 18, 1, 5, 0, 6
8, 8, 2, 10, 0, 6
6, 18, 1, 6, 0, 6
8, 8, 2, 11, 0, 6
6, 18, 1, 7, 0, 6
8, 8, 2, 12, 0, 6
8, 14, 2, 2, 0, 2
9, 10, 2, 2, 1, 2
7, 5, 2, 2, 1, 2
5, 9, 2, 2, 1, 2
8, 14, 2, 3, 0, 2
9, 10, 2, 3, 1, 2
7, 5, 2, 3, 1, 2
5, 9, 2, 3, 1, 2
8, 14, 2, 4, 0, 2
9, 10, 2, 4, 1, 2
7, 5, 2, 4, 1, 2
5, 9, 2, 4, 1, 2
11, 16, 1, 5, 0, 6
11, 16, 1, 6, 0, 6
11, 16, 1, 7, 0, 6
12, 19, 1, 5, 0, 6
12, 19, 1, 6, 0, 6
12, 19, 1, 7, 0, 6
10, 17, 2, 11, 0, 6
9, 16, 2, 11, 0, 6
10, 17, 2, 12, 0, 6
9, 16, 2, 12, 0, 6
10, 17, 2, 13, 0, 6
9, 16, 2, 13, 0, 6
10, 19, 3, 19, 0, 6
12, 16, 3, 19, 0, 6
10, 19, 3, 20, 0, 6
12, 16, 3, 20, 0, 6
10, 19, 3, 21, 0, 6
12, 16, 3, 21, 0, 6
9, 16, 4, 2, 0, 2
9, 16, 4, 3, 0, 2
9, 16, 4, 4, 0, 2
10, 15, 2, 2, 1, 2
10, 15, 2, 3, 1, 2
10, 15, 2, 4, 1, 2
9, 12, 2, 2, 1, 2
9, 12, 2, 3, 1, 2
9, 12, 2, 4, 1, 2
10, 10, 3, 3, 1, 3
12, 14, 3, 3, 1, 2
10, 10, 3, 4, 1, 3
12, 14, 3, 4, 1, 2
10, 10, 3, 5, 1, 3
12, 14, 3, 5, 1, 2
10, 9, 2, 0, 1, 2
9, 14, 2, 0, 1, 2
10, 11, 3, 0, 1, 2
12, 8, 3, 0, 1, 2
10, 9, 2, 0, 1, 2
9, 14, 2, 0, 1, 2
10, 11, 3, 0, 1, 2
12, 8, 3, 0, 1, 2
11, 16, 1, 5, 0, 6
12, 19, 1, 4, 0, 6
10, 17, 2, 1, 0, 6
9, 16, 2, 3, 0, 6
10, 19, 3, 2, 0, 6
12, 16, 3, 1, 0, 6
9, 16, 4, 3, 0, 2
10, 15, 2, 2, 1, 2
9, 12, 2, 1, 1, 2
10, 10, 3, 4, 1, 3
12, 14, 3, 3, 1, 2
10, 9, 2, 4, 1, 2
9, 14, 2, 5, 1, 2
10, 11, 3, 3, 1, 2
12, 8, 3, 1, 1, 2
16, 18, 1, 0, 0, 6
14, 18, 1, 0, 0, 6
16, 18, 2, 0, 0, 6
17, 18, 2, 0, 0, 6
15, 18, 3, 0, 0, 6
13, 18, 3, 0, 0, 6
18, 18, 4, 0, 0, 2
